source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
25452477,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_20yr,4.783e+06,,,2397,MW,0.394,8.265e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_100yr,4.783e+06,,,2397,MW,0.394,8.265e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,2397,MW,0.362,7.611e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2,4.48e+06,0.589,T of CO2 per MWh,2397,MW,0.362,7.611e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,2397,MW,0.362,7.611e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_20yr,4.48e+06,,,2397,MW,0.362,7.611e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452477,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_100yr,4.48e+06,,,2397,MW,0.362,7.611e+06,MWh,,,Guddu,"gas, other_fossil, oil",28.4249,69.7009
25452483,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,n2o,,,field_not_modeled,1350,MW,0.535,6.327e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2,4.14e+06,0.654,T of CO2 per MWh,1350,MW,0.535,6.327e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,ch4,,,field_not_modeled,1350,MW,0.535,6.327e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
25452483,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_20yr,4.14e+06,,,1350,MW,0.535,6.327e+06,MWh,,,Muzaffargarh power station,gas,30.1056,71.1639
